"","var_pop_tot","PIB_cap_USD","dist_fr_km","disp_alim_kcal_pers_j_totale","disp_alim_prot_g_pers_j_total","ratio_prot_anim_total","tx_urb","cluster"
"Afghanistan",16.4031012460882,608.058642,5589.0805,2196,57.72,20.2529452529453,0.25633214603384,"1"
"Afrique du Sud",7.84992271211561,6829.289494,8694.991,2958,80.48,43.7002982107356,0.637389961737751,"2"
"Albanie",-3.29332682358881,4399.863881,1602.6269,3291,110.23,51.9731470561553,0.551539195327486,"3"
"Algérie",9.81706107765232,5499.587619,1348.5424,3436,90.85,29.1139240506329,0.694179619142912,"3"
"Allemagne",0.133983830804413,45984.263064,878.4415,3502,101.36,60.6452249408051,0.771544876968366,"4"
"Angola",19.9125178826302,5254.883253,6511.4815,2473,52.81,34.4821056618065,0.620271134662457,"1"
"Arabie saoudite",16.0824744816635,24845.123837,4695.101,3254,91.46,43.4944237918216,0.828014546357706,"5"
"Argentine",5.27909569223275,14534.922536,11062.4962,3200,103.77,63.2649127878963,0.911781060919712,"2"
"Arménie",-0.344955905486888,3838.180041,3433.4787,3014,93.29,46.8860542394683,0.632156814564389,"3"
"Australie",9.01277697341523,66360.873829,16938.5954,3424,109.31,67.5327051504894,0.855668993472476,"2"
"Autriche",2.57335223313896,50264.050148,1034.6502,3714,105.04,59.8248286367098,0.572287264809134,"4"
"Azerbaïdjan",6.38860931233085,7901.636126,3813.3474,3110,92.43,34.5775181218219,0.541459307090494,"2"
"Bangladesh",5.86071156212698,1004.867177,7911.5975,2450,56.16,19.3732193732194,0.30645395030308,"1"
"Barbade",1.55387110371285,16452.042941,6882.3136,2923,85.77,56.1501690567798,0.318601035540423,"2"
"Bélarus",-0.310477628187465,8014.801968,1828.1226,3298,90.66,54.5113611294948,0.760585922054912,"3"
"Belgique",3.48139368190658,46767.284696,264.273,3736,99.37,58.4985408070846,0.977895212385072,"4"
"Belize",12.6757120554848,4568.542052,8661.8495,2664,68.82,38.4771868642836,0.45524781973591,"1"
"Bénin",15.0360110204519,1088.394477,4715.5387,2720,65.48,22.4343310934637,0.446431743186703,"1"
"Bolivie (État plurinational de)",8.44444668462146,2908.199819,10037.0138,2335,65.61,45.8771528730376,0.681341598768475,"2"
"Bosnie-Herzégovine",-5.63797871810532,5131.562662,1350.2148,3107,89.92,35.2535587188612,0.455772389026609,"3"
"Botswana",7.66892927112049,7224.897813,8509.8891,2516,72.7,45.8046767537827,0.644709844328471,"2"
"Brésil",4.68964902539736,12300.386223,8734.5118,3259,94.07,55.2779844796428,0.851084984258932,"2"
"Bulgarie",-3.1099985951784,7625.778791,1759.2083,2828,82.03,48.4456906009996,0.734006503076506,"3"
"Burkina Faso",16.2226318055648,787.245866,4077.2205,2751,80.96,14.7233201581028,0.263464630990199,"1"
"Cabo Verde",6.42747513736321,3616.921103,4452.2677,2555,70.4,35.7670454545454,0.627173921539508,"2"
"Cambodge",8.22898055393056,1016.130013,9950.176,2582,64.35,29.1686091686092,0.214345323928687,"1"
"Cameroun",14.6713603196565,1465.222481,5085.2271,2763,73.42,17.8016889131027,0.542630541587207,"1"
"Canada",5.87591118482959,52333.945708,5655.0626,3444,102.48,53.0054644808743,0.811994709507972,"4"
"Chili",5.16660085090857,15842.940805,11661.867,3003,88.01,51.7441199863652,0.873251907192707,"2"
"Chine",2.83057844114341,6875.914018,8226.1884,3150,97.6,39.077868852459,0.533198140967749,"2"
"Chypre",5.76045963110793,27719.99063,2953.0641,3009,92.67,50.3399158303658,0.671357484180839,"3"
"Colombie",5.06274831247787,8218.347548,8631.657,2867,65.04,54.3972939729397,0.78679245319541,"2"
"Comores",12.8229277770762,1504.919445,7846.3793,2289,54.28,26.7317612380251,0.282231407745059,"1"
"Costa Rica",6.25082201372357,10490.080648,8928.878,2845,73.82,53.8201029531292,0.751584685879083,"2"
"Croatie",-1.74694139367502,13575.54442,1080.7859,3057,84.27,56.936038922511,0.556938248579829,"3"
"Cuba",0.407155985362963,6837.711074,7732.3387,3366,87.98,35.1670834280518,0.76561225512671,"3"
"Danemark",2.55407278168859,60939.26027,1027.8403,3365,110.99,65.6906027570051,0.872929837739186,"4"
"El Salvador",2.19033217847262,3509.530224,8989.029,2577,71.95,35.3439888811675,0.681140012799091,"2"
"Équateur",8.06106246128938,6056.330827,9363.2626,2575,66.24,56.6878019323671,0.632325541331471,"2"
"Espagne",1.87055836973956,28867.279179,1054.076,3172,104.58,62.124689233123,0.792362395884728,"3"
"Estonie",-1.56789965919769,19158.619312,1860.6043,3247,103.34,51.267660150958,0.680612435200165,"3"
"Eswatini",3.51427931939293,4230.347773,8843.5958,2458,60.21,32.0710845374523,0.0991900394077159,"1"
"Fédération de Russie",0.751619050618823,15916.284387,2489.0314,3361,102.88,54.6656298600311,0.739952369730719,"3"
"Fidji",2.3950714546803,4840.370835,16598.4095,2745,68.87,37.3021634964426,0.529516825167974,"2"
"Finlande",2.24709363695376,49877.95154,1910.93,3305,116.27,62.4838737421519,0.851315190967722,"4"
"France",2.7075059805858,42587.004704,0,3472,109.86,62.5432368468961,0.791265906834848,"4"
"Gabon",19.6590804325207,9680.788248,5435.4195,2766,83.47,48.1370552294237,0.871550423731379,"5"
"Géorgie",-2.26796583350532,4245.815504,3373.4774,2843,77.75,37.1961414790997,0.567152279212518,"3"
"Ghana",12.9173425791441,2378.220096,4820.8718,2987,63.04,24.5717005076142,0.532120824672758,"1"
"Grèce",-2.71558522501498,22204.185096,2098.3074,3390,107.8,54.1558441558442,0.761299660164797,"3"
"Grenade",2.57358519192839,7789.316542,7124.7045,2367,69.48,53.713298791019,0.372358324859018,"2"
"Guatemala",11.3475612768652,3398.11959,9003.4401,2435,66.2,31.2688821752266,0.493094494061741,"1"
"Guinée",11.8497756189885,769.003455,4611.0229,2690,57.9,20.7772020725389,0.306763989517129,"1"
"Guyana",1.6694852955945,5489.112699,7318.5649,2770,78.95,45.6491450284991,0.265166571182099,"2"
"Haïti",7.81722641599405,806.156024,7358.4924,2121,47.52,20.1388888888889,0.503119941734551,"1"
"Honduras",10.2439620321127,2102.595318,8811.3186,2636,59.01,33.9095068632435,0.545961531489213,"1"
"Hongrie",-1.58072560413384,13769.855526,1245.4088,3033,78.72,53.5060975609756,0.699291218774034,"3"
"Îles Salomon",13.5044500953592,1842.459418,15179.8902,2385,55.33,31.3573106813664,0.225088214290715,"2"
"Inde",6.67730314671496,1496.713497,6593.9071,2463,60.94,20.1509681654086,0.321237554550292,"1"
"Indonésie",6.937427914842,3623.927341,11598.4032,2770,61.65,29.7810218978102,0.519121167688495,"1"
"Iraq",16.8088025588618,7076.554613,3862.8501,2592,65.14,22.3211544365981,0.689293317710713,"1"
"Irlande",4.51892627322529,51671.076156,781.7573,3604,109.83,58.9638532277156,0.615953427443904,"4"
"Islande",5.25355791749235,49004.139539,2229.4898,3408,128.33,71.2226291591989,0.936366664934732,"4"
